Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
15400.0,2019,Toyota,Tundra,19934.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
12600.0,2016,Toyota,Tundra,22741.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
12400.0,2018,Ford,F150,18347.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
14200.0,2020,Ford,F150,18477.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Այլ գույն,Մաքսազերծված չէ
13400.0,2019,Ford,F150,18347.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
13300.0,2019,Ford,F150,18347.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
6600.0,2018,Kia,Sportage,19347.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
6600.0,2018,Kia,Optima,19347.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
8000.0,2019,Hyundai,Ioniq,24100.0, Սեդան, Ավտոմատ, Ձախ, Հիբրիդ, Սպիտակ,Մաքսազերծված չէ
7000.0,2018,Audi,A3,16000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
6200.0,2016,Audi,A3,25000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
52000.0,2014,Land,Rover Range Rover Sport,96780.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Կարմիր,Մաքսազերծված է
6700.0,2017,Audi,A3,21600.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
6700.0,2018,BMW,320,23417.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
12800.0,2019,Ford,F150,24587.0, Պիկապ, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
5700.0,2020,Nissan,Kicks,19350.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
4600.0,2019,Kia,Optima,19223.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
3200.0,2018,Mazda,3,18347.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
4500.0,2019,Kia,Optima,18682.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
8600.0,2020,Kia,Sportage,18732.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
10700.0,2022,Kia,Sportage,15947.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
